No,Kode,Nama Emiten,Kode_YFinance,Papan
132,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,BJTM.JK,Utama
133,BKDP,Bukit Darmo Property Tbk.,BKDP.JK,Pengembangan
134,BKHK,BKHK Company Tbk.,BKHK.JK,Akselerasi
135,BKSL,Sentul City Tbk.,BKSL.JK,Utama
136,BKSW,Bank QNB Indonesia Tbk.,BKSW.JK,Pengembangan
137,BLHU,BLHU Company Tbk.,BLHU.JK,Akselerasi
138,BLTA,Berlian Laju Tanker Tbk.,BLTA.JK,Utama
139,BLTZ,Graha Layar Prima Tbk.,BLTZ.JK,Pengembangan
140,BLUE,Berkah Prima Perkasa Tbk.,BLUE.JK,Akselerasi
141,BMAS,Bank Maspion Indonesia Tbk.,BMAS.JK,Utama
142,BMRI,Bank Mandiri (Persero) Tbk.,BMRI.JK,Pengembangan
143,BMSR,Bintang Mitra Semestaraya Tbk.,BMSR.JK,Akselerasi
144,BMTR,Global Mediacom Tbk.,BMTR.JK,Utama
145,BNBA,Bank Bumi Arta Tbk.,BNBA.JK,Pengembangan
146,BNBR,Bakrie & Brothers Tbk.,BNBR.JK,Akselerasi
147,BNGA,Bank CIMB Niaga Tbk.,BNGA.JK,Utama
148,BNII,Bank Maybank Indonesia Tbk.,BNII.JK,Pengembangan
149,BNLI,Bank Permata Tbk.,BNLI.JK,Akselerasi
150,BNVD,BNVD Company Tbk.,BNVD.JK,Utama
151,BOGA,Bintang Oto Global Tbk.,BOGA.JK,Pengembangan
152,BOLA,Bali Bintang Sejahtera Tbk.,BOLA.JK,Akselerasi
153,BOLT,Garuda Metalindo Tbk.,BOLT.JK,Utama
154,BOSS,Borneo Olah Sarana Sukses Tbk.,BOSS.JK,Pengembangan
155,BPFI,Batavia Prosperindo Finance Tbk.,BPFI.JK,Akselerasi
156,BPII,Batavia Prosperindo Internasional Tbk.,BPII.JK,Utama
157,BPTR,Batavia Prosperindo Trans Tbk.,BPTR.JK,Pengembangan
158,BPXM,BPXM Company Tbk.,BPXM.JK,Akselerasi
159,BQDJ,BQDJ Company Tbk.,BQDJ.JK,Utama
160,BRAM,Indo Kordsa Tbk.,BRAM.JK,Pengembangan
161,BREN,Barito Renewables Energy Tbk.,BREN.JK,Akselerasi
162,BRIS,Bank Syariah Indonesia Tbk.,BRIS.JK,Utama
163,BRMS,Bumi Resources Minerals Tbk.,BRMS.JK,Pengembangan
164,BRNA,Berlina Tbk.,BRNA.JK,Akselerasi
165,BRPT,Barito Pacific Tbk.,BRPT.JK,Utama
166,BSDE,Bumi Serpong Damai Tbk.,BSDE.JK,Pengembangan
167,BSIM,Bank Sinarmas Tbk.,BSIM.JK,Akselerasi
168,BSSR,Baramulti Suksessarana Tbk.,BSSR.JK,Utama
169,BSVF,BSVF Company Tbk.,BSVF.JK,Pengembangan
170,BSWD,Bank Of India Indonesia Tbk.,BSWD.JK,Akselerasi
171,BTEK,Bumi Teknokultura Unggul Tbk.,BTEK.JK,Utama
172,BTEL,Bakrie Telecom Tbk.,BTEL.JK,Pengembangan
173,BTON,Betonjaya Manunggal Tbk.,BTON.JK,Akselerasi
174,BTPN,Bank BTPN Tbk.,BTPN.JK,Utama
175,BTPS,Bank BTPN Syariah Tbk.,BTPS.JK,Pengembangan
176,BUCT,BUCT Company Tbk.,BUCT.JK,Akselerasi
177,BUDI,Budi Starch & Sweetener Tbk.,BUDI.JK,Utama
178,BUKA,Bukalapak.com Tbk.,BUKA.JK,Pengembangan
179,BUKK,Bukaka Teknik Utama Tbk.,BUKK.JK,Akselerasi
180,BULL,Buana Lintas Lautan Tbk.,BULL.JK,Utama
181,BUMI,Bumi Resources Tbk.,BUMI.JK,Pengembangan
182,BUVA,Bukit Uluwatu Villa Tbk.,BUVA.JK,Akselerasi
183,BVHW,BVHW Company Tbk.,BVHW.JK,Utama
184,BVIC,Bank Victoria International Tbk.,BVIC.JK,Pengembangan
185,BWPT,Eagle High Plantations Tbk.,BWPT.JK,Akselerasi
186,BXFX,BXFX Company Tbk.,BXFX.JK,Utama
187,BXWF,BXWF Company Tbk.,BXWF.JK,Pengembangan
188,BXWL,BXWL Company Tbk.,BXWL.JK,Akselerasi
189,BYAG,BYAG Company Tbk.,BYAG.JK,Utama
190,BYAN,Bayan Resources Tbk.,BYAN.JK,Pengembangan
191,BYVF,BYVF Company Tbk.,BYVF.JK,Akselerasi
192,BYYG,BYYG Company Tbk.,BYYG.JK,Utama
193,BYYH,BYYH Company Tbk.,BYYH.JK,Pengembangan
194,BZDY,BZDY Company Tbk.,BZDY.JK,Akselerasi
195,BZTI,BZTI Company Tbk.,BZTI.JK,Utama
196,CAKK,Cahayaputra Asa Keramik Tbk.,CAKK.JK,Pengembangan
197,CAMP,Campina Ice Cream Industry Tbk.,CAMP.JK,Akselerasi
198,CANI,Capitol Nusantara Indonesia Tbk.,CANI.JK,Utama
199,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,CARS.JK,Pengembangan
200,CASA,Capital Financial Indonesia Tbk.,CASA.JK,Akselerasi
201,CASS,Cardig Aero Services Tbk.,CASS.JK,Utama
202,CAUW,CAUW Company Tbk.,CAUW.JK,Pengembangan
203,CCAT,CCAT Company Tbk.,CCAT.JK,Akselerasi
204,CEKA,Wilmar Cahaya Indonesia Tbk.,CEKA.JK,Utama
205,CENT,Centratama Telekomunikasi Indonesia Tbk.,CENT.JK,Pengembangan
206,CFIN,Clipan Finance Indonesia Tbk.,CFIN.JK,Akselerasi
207,CFYG,CFYG Company Tbk.,CFYG.JK,Utama
208,CFZK,CFZK Company Tbk.,CFZK.JK,Pengembangan
209,CINT,Chitose Internasional Tbk.,CINT.JK,Akselerasi
210,CITA,Cita Mineral Investindo Tbk.,CITA.JK,Utama
211,CITY,Natura City Developments Tbk.,CITY.JK,Pengembangan
212,CKCU,CKCU Company Tbk.,CKCU.JK,Akselerasi
213,CKIK,CKIK Company Tbk.,CKIK.JK,Utama
214,CKRA,Cakra Mineral Tbk.,CKRA.JK,Pengembangan
215,CLAY,Citra Putra Realty Tbk.,CLAY.JK,Akselerasi
216,CLEO,Sariguna Primatirta Tbk.,CLEO.JK,Utama
217,CLIC,CLIC Company Tbk.,CLIC.JK,Pengembangan
218,CLPI,Colorpak Indonesia Tbk.,CLPI.JK,Akselerasi
219,CMJF,CMJF Company Tbk.,CMJF.JK,Utama
220,CMNP,Citra Marga Nusaphala Persada Tbk.,CMNP.JK,Pengembangan
221,CMOO,CMOO Company Tbk.,CMOO.JK,Akselerasi
222,CMPP,AirAsia Indonesia Tbk.,CMPP.JK,Utama
223,CMQV,CMQV Company Tbk.,CMQV.JK,Pengembangan
224,CMRY,Cisarua Mountain Dairy Tbk.,CMRY.JK,Akselerasi
225,CNKO,Exploitasi Energi Indonesia Tbk.,CNKO.JK,Utama
226,CNRQ,CNRQ Company Tbk.,CNRQ.JK,Pengembangan
227,COBX,COBX Company Tbk.,COBX.JK,Akselerasi
228,COCO,Wahana Interfood Nusantara Tbk.,COCO.JK,Utama
229,COFL,COFL Company Tbk.,COFL.JK,Pengembangan
230,COIN,Indokripto Koin Semesta Tbk.,COIN.JK,Akselerasi
231,COLJ,COLJ Company Tbk.,COLJ.JK,Utama
232,COWL,Cowell Development Tbk.,COWL.JK,Pengembangan
233,CPHM,CPHM Company Tbk.,CPHM.JK,Akselerasi
234,CPIN,Charoen Pokphand Indonesia Tbk.,CPIN.JK,Utama
235,CPRI,Capri Nusa Satu Properti Tbk.,CPRI.JK,Pengembangan
236,CPRO,Central Proteina Prima Tbk.,CPRO.JK,Akselerasi
237,CQWJ,CQWJ Company Tbk.,CQWJ.JK,Utama
238,CSAP,Catur Sentosa Adiprana Tbk.,CSAP.JK,Pengembangan
239,CTRA,Ciputra Development Tbk.,CTRA.JK,Akselerasi
240,CUAN,Petrindo Jaya Kreasi Tbk.,CUAN.JK,Utama
241,CUBL,CUBL Company Tbk.,CUBL.JK,Pengembangan
242,CUPC,CUPC Company Tbk.,CUPC.JK,Akselerasi
243,CURS,CURS Company Tbk.,CURS.JK,Utama
244,CVLE,CVLE Company Tbk.,CVLE.JK,Pengembangan
245,CXWR,CXWR Company Tbk.,CXWR.JK,Akselerasi
246,CYLW,CYLW Company Tbk.,CYLW.JK,Utama
247,DADA,Diamond Citra Propertindo Tbk.,DADA.JK,Pengembangan
248,DART,Duta Anggada Realty Tbk.,DART.JK,Akselerasi
249,DDVL,DDVL Company Tbk.,DDVL.JK,Utama
250,DEOS,DEOS Company Tbk.,DEOS.JK,Pengembangan
251,DEWA,Darma Henwa Tbk.,DEWA.JK,Akselerasi
252,DFDM,DFDM Company Tbk.,DFDM.JK,Utama
253,DFHN,DFHN Company Tbk.,DFHN.JK,Pengembangan
254,DFUX,DFUX Company Tbk.,DFUX.JK,Akselerasi
255,DHIU,DHIU Company Tbk.,DHIU.JK,Utama
256,DILD,Intiland Development Tbk.,DILD.JK,Pengembangan
257,DIOU,DIOU Company Tbk.,DIOU.JK,Akselerasi
258,DKJT,DKJT Company Tbk.,DKJT.JK,Utama
259,DKWS,DKWS Company Tbk.,DKWS.JK,Pengembangan
260,DLTA,Delta Djakarta Tbk.,DLTA.JK,Akselerasi
261,DMAS,Puradelta Lestari Tbk.,DMAS.JK,Utama
262,DNAJ,DNAJ Company Tbk.,DNAJ.JK,Pengembangan
263,DNEW,DNEW Company Tbk.,DNEW.JK,Akselerasi
264,DOID,Delta Dunia Makmur Tbk.,DOID.JK,Utama
265,DOUP,DOUP Company Tbk.,DOUP.JK,Pengembangan
266,DPEY,DPEY Company Tbk.,DPEY.JK,Akselerasi
267,DPWE,DPWE Company Tbk.,DPWE.JK,Utama
268,DRLN,DRLN Company Tbk.,DRLN.JK,Pengembangan
269,DRSW,DRSW Company Tbk.,DRSW.JK,Akselerasi
270,DSNG,Dharma Satya Nusantara Tbk.,DSNG.JK,Utama
271,DSSA,Dian Swastatika Sentosa Tbk.,DSSA.JK,Pengembangan
272,DTCK,DTCK Company Tbk.,DTCK.JK,Akselerasi
273,DTFF,DTFF Company Tbk.,DTFF.JK,Utama
274,DTPB,DTPB Company Tbk.,DTPB.JK,Pengembangan
275,DUEZ,DUEZ Company Tbk.,DUEZ.JK,Akselerasi
276,DVLA,Darya-Varia Laboratoria Tbk.,DVLA.JK,Utama
277,DWOB,DWOB Company Tbk.,DWOB.JK,Pengembangan
278,DYRQ,DYRQ Company Tbk.,DYRQ.JK,Akselerasi
279,EAST,Eastparc Hotel Tbk.,EAST.JK,Utama
280,ECEW,ECEW Company Tbk.,ECEW.JK,Pengembangan
281,EDTY,EDTY Company Tbk.,EDTY.JK,Akselerasi
282,EEHS,EEHS Company Tbk.,EEHS.JK,Utama
283,EFMK,EFMK Company Tbk.,EFMK.JK,Pengembangan
284,EFXK,EFXK Company Tbk.,EFXK.JK,Akselerasi
285,EFZQ,EFZQ Company Tbk.,EFZQ.JK,Utama
286,EGAM,EGAM Company Tbk.,EGAM.JK,Pengembangan
287,EGFL,EGFL Company Tbk.,EGFL.JK,Akselerasi
288,EGSQ,EGSQ Company Tbk.,EGSQ.JK,Utama
289,EGXW,EGXW Company Tbk.,EGXW.JK,Pengembangan
290,EHFI,EHFI Company Tbk.,EHFI.JK,Akselerasi
291,EILX,EILX Company Tbk.,EILX.JK,Utama
292,EJFW,EJFW Company Tbk.,EJFW.JK,Pengembangan
293,EKAD,Ekadharma International Tbk.,EKAD.JK,Akselerasi
294,ELSA,Elnusa Tbk.,ELSA.JK,Utama
295,EMDE,Megapolitan Developments Tbk.,EMDE.JK,Pengembangan
296,EMHN,EMHN Company Tbk.,EMHN.JK,Akselerasi
297,EMTK,Elang Mahkota Teknologi Tbk.,EMTK.JK,Utama
298,ENRG,Energi Mega Persada Tbk.,ENRG.JK,Pengembangan
299,ENRW,ENRW Company Tbk.,ENRW.JK,Akselerasi
300,EOCT,EOCT Company Tbk.,EOCT.JK,Utama
301,EOGN,EOGN Company Tbk.,EOGN.JK,Pengembangan
302,EPNX,EPNX Company Tbk.,EPNX.JK,Akselerasi
303,EQRD,EQRD Company Tbk.,EQRD.JK,Utama
304,ERAA,Erajaya Swasembada Tbk.,ERAA.JK,Pengembangan
305,ESMU,ESMU Company Tbk.,ESMU.JK,Akselerasi
306,ESSA,Surya Esa Perkasa Tbk.,ESSA.JK,Utama
307,ETBT,ETBT Company Tbk.,ETBT.JK,Pengembangan
308,ETEV,ETEV Company Tbk.,ETEV.JK,Akselerasi
309,ETMO,ETMO Company Tbk.,ETMO.JK,Utama
310,EUIR,EUIR Company Tbk.,EUIR.JK,Pengembangan
311,EVDU,EVDU Company Tbk.,EVDU.JK,Akselerasi
312,EVST,EVST Company Tbk.,EVST.JK,Utama
313,EWAN,EWAN Company Tbk.,EWAN.JK,Pengembangan
314,EXCL,XL Axiata Tbk.,EXCL.JK,Akselerasi
315,EXMF,EXMF Company Tbk.,EXMF.JK,Utama
316,EXQW,EXQW Company Tbk.,EXQW.JK,Pengembangan
317,FAST,Fast Food Indonesia Tbk.,FAST.JK,Akselerasi
318,FASW,Fajar Surya Wisesa Tbk.,FASW.JK,Utama
319,FCBF,FCBF Company Tbk.,FCBF.JK,Pengembangan
320,FCOL,FCOL Company Tbk.,FCOL.JK,Akselerasi
321,FDOQ,FDOQ Company Tbk.,FDOQ.JK,Utama
322,FEIX,FEIX Company Tbk.,FEIX.JK,Pengembangan
323,FGED,FGED Company Tbk.,FGED.JK,Akselerasi
324,FGUW,FGUW Company Tbk.,FGUW.JK,Utama
325,FILM,MD Pictures Tbk.,FILM.JK,Pengembangan
326,FJDI,FJDI Company Tbk.,FJDI.JK,Akselerasi
327,FKKG,FKKG Company Tbk.,FKKG.JK,Utama
328,FKXD,FKXD Company Tbk.,FKXD.JK,Pengembangan
329,FLZO,FLZO Company Tbk.,FLZO.JK,Akselerasi
330,FMVR,FMVR Company Tbk.,FMVR.JK,Utama
331,FMZP,FMZP Company Tbk.,FMZP.JK,Pengembangan
332,FNIO,FNIO Company Tbk.,FNIO.JK,Akselerasi
333,FNNZ,FNNZ Company Tbk.,FNNZ.JK,Utama
334,FPAU,FPAU Company Tbk.,FPAU.JK,Pengembangan
335,FPBR,FPBR Company Tbk.,FPBR.JK,Akselerasi
336,FPLE,FPLE Company Tbk.,FPLE.JK,Utama
337,FREN,Smartfren Telecom Tbk.,FREN.JK,Pengembangan
338,FSTQ,FSTQ Company Tbk.,FSTQ.JK,Akselerasi
339,FTIM,FTIM Company Tbk.,FTIM.JK,Utama
340,FTLC,FTLC Company Tbk.,FTLC.JK,Pengembangan
341,FUNO,FUNO Company Tbk.,FUNO.JK,Akselerasi
342,FUTR,Lini Imaji Kreasi Ekosistem Tbk.,FUTR.JK,Utama
343,FXWV,FXWV Company Tbk.,FXWV.JK,Pengembangan
344,FXWZ,FXWZ Company Tbk.,FXWZ.JK,Akselerasi
345,GAMI,GAMI Company Tbk.,GAMI.JK,Utama
346,GAOR,GAOR Company Tbk.,GAOR.JK,Pengembangan
347,GAYT,GAYT Company Tbk.,GAYT.JK,Akselerasi
348,GBFY,GBFY Company Tbk.,GBFY.JK,Utama
349,GCLF,GCLF Company Tbk.,GCLF.JK,Pengembangan
350,GCRI,GCRI Company Tbk.,GCRI.JK,Akselerasi
351,GEMA,Gema Grahasarana Tbk.,GEMA.JK,Utama
352,GEMS,Golden Energy Mines Tbk.,GEMS.JK,Pengembangan
353,GFUU,GFUU Company Tbk.,GFUU.JK,Akselerasi
354,GFZV,GFZV Company Tbk.,GFZV.JK,Utama
355,GGRM,Gudang Garam Tbk.,GGRM.JK,Pengembangan
356,GGWZ,GGWZ Company Tbk.,GGWZ.JK,Akselerasi
357,GHLU,GHLU Company Tbk.,GHLU.JK,Utama
358,GIAA,Garuda Indonesia (Persero) Tbk.,GIAA.JK,Pengembangan
359,GIIA,GIIA Company Tbk.,GIIA.JK,Akselerasi
360,GJPH,GJPH Company Tbk.,GJPH.JK,Utama
361,GJTL,Gajah Tunggal Tbk.,GJTL.JK,Pengembangan
362,GLBY,GLBY Company Tbk.,GLBY.JK,Akselerasi
363,GLCL,GLCL Company Tbk.,GLCL.JK,Utama
364,GLLC,GLLC Company Tbk.,GLLC.JK,Pengembangan
365,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,GMFI.JK,Akselerasi
366,GMTK,GMTK Company Tbk.,GMTK.JK,Utama
367,GMUY,GMUY Company Tbk.,GMUY.JK,Pengembangan
368,GNMU,GNMU Company Tbk.,GNMU.JK,Akselerasi
369,GOLF,Intan Pariwara Tbk.,GOLF.JK,Utama
370,GOMT,GOMT Company Tbk.,GOMT.JK,Pengembangan
371,GOOD,Garudafood Putra Putri Jaya Tbk.,GOOD.JK,Akselerasi
372,GOTO,GoTo Gojek Tokopedia Tbk.,GOTO.JK,Utama
373,GPGY,GPGY Company Tbk.,GPGY.JK,Pengembangan
374,GQEH,GQEH Company Tbk.,GQEH.JK,Akselerasi
375,GUBR,GUBR Company Tbk.,GUBR.JK,Utama
376,GUPP,GUPP Company Tbk.,GUPP.JK,Pengembangan
377,GUYJ,GUYJ Company Tbk.,GUYJ.JK,Akselerasi
378,GVAC,GVAC Company Tbk.,GVAC.JK,Utama
379,GVUG,GVUG Company Tbk.,GVUG.JK,Pengembangan
380,GWSA,Greenwood Sejahtera Tbk.,GWSA.JK,Akselerasi
381,GYPZ,GYPZ Company Tbk.,GYPZ.JK,Utama
382,GYRL,GYRL Company Tbk.,GYRL.JK,Pengembangan
383,GZDP,GZDP Company Tbk.,GZDP.JK,Akselerasi
384,HAVG,HAVG Company Tbk.,HAVG.JK,Utama
385,HBCL,HBCL Company Tbk.,HBCL.JK,Pengembangan
386,HBEP,HBEP Company Tbk.,HBEP.JK,Akselerasi
387,HBJR,HBJR Company Tbk.,HBJR.JK,Utama
388,HBOW,HBOW Company Tbk.,HBOW.JK,Pengembangan
389,HCAC,HCAC Company Tbk.,HCAC.JK,Akselerasi
390,HCNR,HCNR Company Tbk.,HCNR.JK,Utama
391,HDBH,HDBH Company Tbk.,HDBH.JK,Pengembangan
392,HEAL,Medikaloka Hermina Tbk.,HEAL.JK,Akselerasi
393,HEMD,HEMD Company Tbk.,HEMD.JK,Utama
